time;V(1);V(2)
1.420498866;0.008970399;0.009011435
1.420521542;0.018332976;0.018373701
1.420544218;0.027623526;0.027663729
1.420566893;0.036805554;0.036845026
1.420589569;0.045842983;0.045881517
1.420612245;0.054700314;0.054737707
1.420634921;0.063342745;0.063378799
1.420657596;0.071736322;0.071770844
1.420680272;0.079848066;0.079880868
1.420702948;0.087646118;0.087677020
1.420725624;0.095099835;0.095128665
1.420748299;0.102179937;0.102206530
1.420770975;0.108858613;0.108882812
1.420793651;0.115109613;0.115131272
1.420816327;0.120908389;0.120927372
1.420839002;0.126232150;0.126248330
1.420861678;0.131059991;0.131073254
1.420884354;0.135372935;0.135383177
1.420907029;0.139154040;0.139161169
1.420929705;0.142388465;0.142392401
1.420952381;0.145063499;0.145064177
1.420975057;0.147168608;0.147165972
1.420997732;0.148695551;0.148689562
1.421020408;0.149638324;0.149628952
1.421043084;0.149993202;0.149980433
1.421065760;0.149758812;0.149742645
1.421088435;0.148936065;0.148916512
1.421111111;0.147528209;0.147505295
1.421133787;0.145540757;0.145514520
1.421156463;0.142981517;0.142952010
1.421179138;0.139860562;0.139827848
1.421201814;0.136190125;0.136154283
1.421224490;0.131984661;0.131945779
1.421247166;0.127260664;0.127218843
1.421269841;0.122036693;0.121992047
1.421292517;0.116333290;0.116285942
1.421315193;0.110172842;0.110122927
1.421337868;0.103579578;0.103527241
1.421360544;0.096579366;0.096524761
1.421383220;0.089199728;0.089143018
1.421405896;0.081469661;0.081411018
1.421428571;0.073419533;0.073359134
1.421451247;0.065080947;0.065018980
1.421473923;0.056486690;0.056423346
1.421496599;0.047670512;0.047605988
1.421519274;0.038667057;0.038601555
1.421541950;0.029511686;0.029445413
1.421564626;0.020240374;0.020173539
1.421587302;0.010889546;0.010822360
1.421609977;0.001495937;0.001428611
1.421632653;-0.007903551;-0.007970802
1.421655329;-0.017271987;-0.017338951
1.421678005;-0.026572569;-0.026639035
1.421700680;-0.035768753;-0.035834510
1.421723356;-0.044824417;-0.044889259
1.421746032;-0.053703976;-0.053767699
1.421768707;-0.062372554;-0.062434960
1.421791383;-0.070796089;-0.070856984
1.421814059;-0.078941494;-0.079000690
1.421836735;-0.086776753;-0.086834069
1.421859410;-0.094271105;-0.094326366
1.421882086;-0.101395090;-0.101448132
1.421904762;-0.108120732;-0.108171398
1.421927438;-0.114421598;-0.114469739
1.421950113;-0.120272944;-0.120318423
1.421972789;-0.125651779;-0.125694468
1.421995465;-0.130536958;-0.130576742
1.422018141;-0.134909311;-0.134946085
1.422040816;-0.138751658;-0.138785328
1.422063492;-0.142048875;-0.142079361
1.422086168;-0.144788042;-0.144815275
1.422108844;-0.146958372;-0.146982297
1.422131519;-0.148551356;-0.148571930
1.422154195;-0.149560735;-0.149577929
1.422176871;-0.149982547;-0.149996344
1.422199546;-0.149815122;-0.149825519
1.422222222;-0.149059115;-0.149066124
1.422244898;-0.147717508;-0.147721152
1.422267574;-0.145795575;-0.145795891
1.422290249;-0.143300840;-0.143297878
1.422312925;-0.140243124;-0.140236947
1.422335601;-0.136634466;-0.136625150
1.422358277;-0.132488992;-0.132476625
1.422380952;-0.127823019;-0.127807701
1.422403628;-0.122654874;-0.122636717
1.422426304;-0.117004852;-0.116983979
1.422448980;-0.110895164;-0.110871707
1.422471655;-0.104349799;-0.104323902
1.422494331;-0.097394483;-0.097366300
1.422517007;-0.090056531;-0.090026222
1.422539683;-0.082364781;-0.082332518
1.422562358;-0.074349445;-0.074315407
1.422585034;-0.066042017;-0.066006388
1.422607710;-0.057475126;-0.057438096
1.422630385;-0.048682435;-0.048644203
1.422653061;-0.039698492;-0.039659259
1.422675737;-0.030558583;-0.030518554
1.422698413;-0.021298620;-0.021258004
1.422721088;-0.011954983;-0.011913991
1.422743764;-0.002564378;-0.002523222
1.422766440;0.006836302;0.006877408
1.422789116;0.016210124;0.016250968
1.422811791;0.025520261;0.025560631
1.422834467;0.034730139;0.034769825
1.422857143;0.043803572;0.043842367
1.422879819;0.052704919;0.052742619
1.422902494;0.061399202;0.061435607
1.422925170;0.069852266;0.069887183
1.422947846;0.078030915;0.078064153
1.422970522;0.085902994;0.085934373
1.422993197;0.093437585;0.093466930
1.423015873;0.100605103;0.100632248
1.423038549;0.107377370;0.107402156
1.423061224;0.113727781;0.113750059
1.423083900;0.119631399;0.119651031
1.423106576;0.125065031;0.125081888
1.423129252;0.130007310;0.130021275
1.423151927;0.134438849;0.134449816
1.423174603;0.138342215;0.138350089
1.423197279;0.141702075;0.141706773
1.423219955;0.144505241;0.144506694
1.423242630;0.146740687;0.146738838
1.423265306;0.148399637;0.148394442
1.423287982;0.149475578;0.149467006
1.423310658;0.149964279;0.149952313
1.423333333;0.149863818;0.149848452
1.423356009;0.149174597;0.149155841
1.423378685;0.147899313;0.147877190
1.423401361;0.146042973;0.146017517
1.423424036;0.143612878;0.143584139
1.423446712;0.140618595;0.140586633
1.423469388;0.137071849;0.137036740
1.423492063;0.132986604;0.132948435
1.423514739;0.128378893;0.128337761
1.423537415;0.123266820;0.123222836
1.423560091;0.117670479;0.117623764
1.423582766;0.111611848;0.111562534
1.423605442;0.105114732;0.105062962
1.423628118;0.098204647;0.098150574
1.423650794;0.090908759;0.090852543
1.423673469;0.083255722;0.083197532
1.423696145;0.075275582;0.075215596
1.423718821;0.066999729;0.066938131
1.423741497;0.058460649;0.058397631
1.423764172;0.049691893;0.049627649
1.423786848;0.040727918;0.040662650
1.423809524;0.031603934;0.031537848
1.423832200;0.022355787;0.022289091
1.423854875;0.013019814;0.012952719
1.423877551;0.003632691;0.003565408
1.423900227;-0.005768705;-0.005835962
1.423922902;-0.015147437;-0.015214456
1.423945578;-0.024466659;-0.024533227
1.423968254;-0.033689761;-0.033755668
1.423990930;-0.042780509;-0.042845548
1.424013605;-0.051703183;-0.051767149
1.424036281;-0.060422730;-0.060485423
1.424058957;-0.068904896;-0.068966121
1.424081633;-0.077116363;-0.077175932
1.424104308;-0.085024867;-0.085082596
1.424126984;-0.092599326;-0.092655039
1.424149660;-0.099809996;-0.099863527
1.424172336;-0.106628552;-0.106679742
1.424195011;-0.113028195;-0.113076893
1.424217687;-0.118983787;-0.119029853
1.424240363;-0.124471934;-0.124515239
1.424263039;-0.129471074;-0.129511499
1.424285714;-0.133961546;-0.133998983
1.424308390;-0.137925752;-0.137960106
1.424331066;-0.141348076;-0.141379262
1.424353741;-0.144215092;-0.144243040
1.424376417;-0.146515550;-0.146540202
1.424399093;-0.148240391;-0.148261700
1.424421769;-0.149382820;-0.149400754
1.424444444;-0.149938396;-0.149952936
1.424467120;-0.149904914;-0.149916054
1.424489796;-0.149282493;-0.149290241
1.424512472;-0.148073607;-0.148077983
1.424535147;-0.146282979;-0.146284018
1.424557823;-0.143917643;-0.143915392
1.424580499;-0.140986912;-0.140981430
1.424603175;-0.137502288;-0.137493649
1.424625850;-0.133477466;-0.133465754
1.424648526;-0.128928255;-0.128913569
1.424671202;-0.123872522;-0.123854970
1.424693878;-0.118330144;-0.118309846
1.424716553;-0.112322876;-0.112299964
1.424739229;-0.105874336;-0.105848951
1.424761905;-0.099009841;-0.098982133
1.424784580;-0.091756375;-0.091726505
1.424807256;-0.084142422;-0.084110559
1.424829932;-0.076197911;-0.076164230
1.424852608;-0.067954034;-0.067918720
1.424875283;-0.059443196;-0.059406438
1.424897959;-0.050698824;-0.050660818
1.424920635;-0.041755270;-0.041716217
1.424943311;-0.032647674;-0.032607778
1.424965986;-0.023411818;-0.023371288
1.424988662;-0.014083984;-0.014043030
1.425011338;-0.004700818;-0.004659651
1.425034014;0.004700816;0.004741982
1.425056689;0.014083982;0.014124934
1.425079365;0.023411816;0.023452342
1.425102041;0.032647672;0.032687561
1.425124717;0.041755268;0.041794313
1.425147392;0.050698822;0.050736818
1.425170068;0.059443194;0.059479940
1.425192744;0.067954033;0.067989334
1.425215420;0.076197909;0.076231575
1.425238095;0.084142421;0.084174268
1.425260771;0.091756374;0.091786226
1.425283447;0.099009839;0.099037528
1.425306122;0.105874335;0.105899700
1.425328798;0.112322875;0.112345765
1.425351474;0.118330143;0.118350418
1.425374150;0.123872521;0.123890049
1.425396825;0.128928254;0.128942916
1.425419501;0.133477465;0.133489152
1.425442177;0.137502287;0.137510901
1.425464853;0.140986911;0.140992368
1.425487528;0.143917643;0.143919869
1.425510204;0.146282980;0.146281915
1.425532880;0.148073607;0.148069206
1.425555556;0.149282494;0.149274721
1.425578231;0.149904914;0.149893750
1.425600907;0.149938397;0.149923833
1.425623583;0.149382821;0.149364864
1.425646259;0.148240392;0.148219061
1.425668934;0.146515552;0.146490879
1.425691610;0.144215093;0.144187125
1.425714286;0.141348078;0.141316872
1.425736961;0.137925754;0.137891383
1.425759637;0.133961548;0.133924095
1.425782313;0.129471076;0.129430638
1.425804989;0.124471936;0.124428619
1.425827664;0.118983790;0.118937714
1.425850340;0.113028198;0.112979492
1.425873016;0.106628555;0.106577360
1.425895692;0.099809999;0.099756465
1.425918367;0.092599328;0.092543614
1.425941043;0.085024870;0.084967143
1.425963719;0.077116366;0.077056802
1.425986395;0.068904899;0.068843681
1.426009070;0.060422733;0.060360050
1.426031746;0.051703187;0.051639234
1.426054422;0.042780512;0.042715490
1.426077098;0.033689765;0.033623876
1.426099773;0.024466663;0.024400116
1.426122449;0.015147440;0.015080446
1.426145125;0.005768708;0.005701479
1.426167800;-0.003632687;-0.003699940
1.426190476;-0.013019811;-0.013086873
1.426213152;-0.022355784;-0.022422443
1.426235828;-0.031603930;-0.031669976
1.426258503;-0.040727914;-0.040793139
1.426281179;-0.049691890;-0.049756088
1.426303855;-0.058460646;-0.058523616
1.426326531;-0.066999726;-0.067061272
1.426349206;-0.075275579;-0.075335511
1.426371882;-0.083255719;-0.083313852
1.426394558;-0.090908757;-0.090964914
1.426417234;-0.098204645;-0.098258656
1.426439909;-0.105114729;-0.105166434
1.426462585;-0.111611846;-0.111661092
1.426485261;-0.117670476;-0.117717123
1.426507937;-0.123266818;-0.123310731
1.426530612;-0.128378891;-0.128419951
1.426553288;-0.132986603;-0.133024698
1.426575964;-0.137071848;-0.137106880
1.426598639;-0.140618593;-0.140650476
1.426621315;-0.143612877;-0.143641537
1.426643991;-0.146042972;-0.146068347
1.426666667;-0.147899312;-0.147921354
1.426689342;-0.149174596;-0.149193270
1.426712018;-0.149863817;-0.149879100
1.426734694;-0.149964279;-0.149976162
1.426757370;-0.149475578;-0.149484065
1.426780045;-0.148399636;-0.148404747
1.426802721;-0.146740687;-0.146742451
1.426825397;-0.144505241;-0.144503703
1.426848073;-0.141702075;-0.141697292
1.426870748;-0.138342215;-0.138334257
1.426893424;-0.134438850;-0.134427799
1.426916100;-0.130007310;-0.129993262
1.426938776;-0.125065032;-0.125048091
1.426961451;-0.119631400;-0.119611685
1.426984127;-0.113727782;-0.113705422
